case_id,outcome_1a_gpt4o,outcome_1b_gpt4o,outcome_1c_gpt4o
0878,affirm,affirm,affirm
0879,mixed,mixed,affirm
0881,,,
0884,reverse,reverse,affirm
0885,reverse,reverse,affirm
0886,affirm,affirm,affirm
0887,affirm,affirm,affirm
0888,mixed,mixed,affirm
0891,,,
0893,affirm,affirm,affirm
0895,affirm,reverse,reverse
0897,,,
0898,affirm,affirm,affirm
0900,affirm,affirm,affirm
0902,affirm,affirm,mixed
0904,affirm,affirm,affirm
0905,affirm,mixed,mixed
0907,mixed,mixed,mixed
0912,affirm,affirm,affirm
0913,affirm,affirm,affirm
0915,,,
0926,,,
0928,affirm,affirm,reverse
0931,mixed,mixed,mixed
0942,affirm,affirm,reverse
0946,mixed,mixed,mixed
0947,,,
0959,,,
0960,reverse,reverse,reverse
0961,,,
0965,affirm,affirm,affirm
0979,affirm,affirm,affirm
0996,,,
1014,,,
1020,affirm,affirm,reverse
1024,,,
1039,,,
1041,affirm,affirm,reverse
1042,mixed,mixed,affirm
1043,reverse,mixed,reverse
1044,mixed,mixed,mixed
1045,affirm,affirm,reverse
1046,reverse,affirm,reverse
1047,reverse,reverse,reverse
1050,reverse,reverse,affirm
1051,affirm,affirm,affirm
1056,affirm,affirm,affirm
1058,affirm,affirm,reverse
1059,affirm,affirm,affirm
1061,affirm,affirm,affirm
1062,reverse,reverse,affirm
1066,affirm,affirm,affirm
1067,reverse,reverse,affirm
1069,reverse,mixed,affirm
1070,affirm,affirm,affirm
1071,affirm,affirm,affirm
1073,affirm,affirm,affirm
1075,affirm,affirm,affirm
1076,affirm,affirm,affirm
1077,affirm,affirm,affirm
1079,affirm,affirm,affirm
1081,affirm,affirm,affirm
1083,affirm,affirm,reverse
1084,mixed,mixed,mixed
1085,reverse,reverse,reverse
1089,affirm,affirm,mixed
1092,affirm,affirm,affirm
1093,reverse,reverse,reverse
1094,affirm,affirm,reverse
1097,mixed,mixed,mixed
1100,affirm,affirm,affirm
1101,affirm,affirm,affirm
1104,reverse,affirm,affirm
1107,affirm,affirm,reverse
1112,reverse,reverse,reverse
1115,affirm,affirm,affirm
1117,affirm,affirm,affirm
1120,affirm,affirm,affirm
1124,reverse,mixed,reverse
1125,affirm,affirm,affirm
1127,,,
1181,affirm,affirm,affirm
1190,affirm,reverse,reverse
1212,,,
1213,,,
1216,mixed,mixed,reverse
1225,,,
1229,,,
1232,affirm,affirm,affirm
1234,,,
1236,mixed,mixed,reverse
1237,,,
1241,,,
1242,affirm,affirm,affirm
1244,,,
1247,affirm,affirm,affirm
1252,mixed,affirm,reverse
1259,affirm,affirm,affirm
1263,affirm,affirm,affirm
1264,reverse,mixed,reverse
1266,affirm,mixed,affirm
1269,,,
1275,mixed,reverse,reverse
1279,mixed,affirm,affirm
1281,mixed,mixed,affirm
1283,affirm,affirm,reverse
1285,mixed,affirm,affirm
1289,affirm,affirm,affirm
1293,affirm,affirm,affirm
1302,affirm,affirm,reverse
1303,,,
1310,affirm,affirm,affirm
1313,affirm,affirm,reverse
1316,affirm,affirm,affirm
1317,affirm,affirm,affirm
1321,mixed,mixed,affirm
1322,mixed,mixed,affirm
1323,,,
1332,mixed,mixed,affirm
1334,reverse,affirm,reverse
1335,affirm,affirm,affirm
1340,mixed,mixed,affirm
1342,mixed,mixed,affirm
1343,,,
1344,affirm,affirm,affirm
1345,affirm,affirm,affirm
1346,affirm,affirm,mixed
1348,mixed,mixed,affirm
1354,reverse,reverse,reverse
1356,mixed,mixed,affirm
1357,affirm,affirm,affirm
1358,affirm,affirm,affirm
1359,affirm,mixed,affirm
1360,affirm,affirm,affirm
1361,affirm,affirm,affirm
1362,mixed,mixed,affirm
1363,affirm,affirm,affirm
1366,reverse,mixed,mixed
1367,mixed,mixed,mixed
1370,mixed,affirm,mixed
1371,,,
1373,,,
1375,affirm,affirm,affirm
1379,mixed,mixed,mixed
1380,,,
1387,affirm,affirm,affirm
1388,affirm,affirm,affirm
1392,affirm,affirm,affirm
1394,affirm,affirm,affirm
1395,affirm,affirm,affirm
1398,affirm,affirm,mixed
1401,,,
1403,affirm,affirm,affirm
1409,affirm,affirm,reverse
1410,mixed,affirm,mixed
1414,mixed,mixed,mixed
1423,affirm,affirm,affirm
1425,affirm,mixed,affirm
1430,mixed,mixed,reverse
1433,mixed,mixed,affirm
1435,affirm,affirm,reverse
1440,mixed,mixed,mixed
1442,mixed,mixed,affirm
1443,affirm,affirm,reverse
1444,reverse,affirm,affirm
1445,affirm,affirm,affirm
1446,affirm,affirm,affirm
1448,affirm,affirm,affirm
1451,reverse,mixed,affirm
1452,affirm,affirm,affirm
1453,affirm,affirm,affirm
1454,mixed,mixed,reverse
1455,,,
1459,affirm,affirm,affirm
1461,mixed,affirm,affirm
1465,mixed,mixed,mixed
1467,affirm,affirm,mixed
1469,affirm,affirm,affirm
1474,affirm,affirm,affirm
1480,mixed,mixed,affirm
1482,mixed,mixed,affirm
1483,mixed,mixed,affirm
1484,mixed,mixed,affirm
1485,affirm,affirm,affirm
1491,affirm,affirm,affirm
1492,mixed,mixed,affirm
1495,mixed,mixed,affirm
1496,mixed,mixed,affirm
1499,mixed,affirm,reverse
1503,reverse,reverse,reverse
1504,affirm,affirm,reverse
1509,affirm,affirm,reverse
1512,,,
1515,mixed,mixed,reverse
1523,affirm,affirm,affirm
1526,mixed,mixed,reverse
1529,affirm,affirm,affirm
1534,affirm,affirm,affirm
1535,affirm,affirm,affirm
1536,mixed,mixed,reverse
1538,affirm,affirm,affirm
1539,,,
1543,affirm,affirm,mixed
1545,reverse,mixed,reverse
1549,affirm,mixed,affirm
1550,affirm,mixed,affirm
1551,affirm,affirm,affirm
1552,,,
1554,affirm,affirm,mixed
1559,mixed,affirm,reverse
1561,,,
1562,affirm,mixed,affirm
1564,reverse,reverse,reverse
1565,reverse,reverse,reverse
