case_id,outcome_1a_gemini,outcome_1b_gemini,outcome_1c_gemini
0729,,,
0738,reverse,affirm,reverse
0740,affirm,affirm,affirm
0741,reverse,reverse,reverse
0757,,,
0761,reverse,reverse,affirm
0764,mixed,mixed,affirm
0765,reverse,reverse,reverse
0769,affirm,affirm,affirm
0777,affirm,affirm,affirm
0782,mixed,mixed,mixed
0797,,,
0805,mixed,reverse,affirm
0806,affirm,affirm,affirm
0810,affirm,affirm,reverse
0815,reverse,reverse,reverse
0816,reverse,reverse,reverse
0818,reverse,reverse,affirm
0819,mixed,mixed,affirm
0823,,,
0825,reverse,reverse,reverse
0839,,,
0840,reverse,reverse,affirm
0841,,,
0850,,,
0857,reverse,affirm,affirm
0858,,,
0860,affirm,affirm,affirm
0864,reverse,reverse,affirm
0870,mixed,mixed,mixed
0871,affirm,affirm,affirm
0872,,,
0873,affirm,affirm,affirm
0874,mixed,reverse,mixed
0875,,,
0876,,,
0878,reverse,reverse,affirm
0879,mixed,mixed,affirm
0881,,,
0884,reverse,mixed,mixed
0885,reverse,reverse,reverse
0886,affirm,affirm,affirm
0887,affirm,affirm,affirm
0888,mixed,mixed,affirm
0891,,,
0893,reverse,reverse,affirm
0895,reverse,reverse,affirm
0897,,,
0898,affirm,reverse,affirm
0900,reverse,reverse,affirm
0902,reverse,reverse,reverse
0904,affirm,affirm,affirm
0905,mixed,mixed,mixed
0907,mixed,mixed,mixed
0912,affirm,affirm,affirm
0913,reverse,reverse,reverse
0915,,,
0926,,,
0928,reverse,reverse,reverse
0931,mixed,mixed,affirm
0942,reverse,reverse,reverse
0946,reverse,reverse,affirm
0947,,,
0959,,,
0960,reverse,reverse,reverse
0961,,,
0965,affirm,mixed,affirm
0979,reverse,reverse,affirm
0996,,,
1014,,,
1020,mixed,mixed,reverse
1024,,,
1039,,,
1041,reverse,reverse,reverse
1042,reverse,reverse,affirm
1043,reverse,reverse,reverse
1044,mixed,mixed,mixed
1045,reverse,reverse,reverse
1046,reverse,reverse,reverse
1047,reverse,reverse,reverse
1050,reverse,affirm,affirm
1051,reverse,reverse,affirm
1056,affirm,mixed,affirm
1058,reverse,reverse,reverse
1059,reverse,reverse,affirm
1061,reverse,reverse,affirm
1062,reverse,reverse,affirm
1066,affirm,affirm,affirm
1067,reverse,reverse,reverse
1069,reverse,reverse,affirm
1070,affirm,affirm,affirm
1071,reverse,reverse,affirm
1073,affirm,affirm,affirm
1075,affirm,affirm,affirm
1076,reverse,mixed,affirm
1077,reverse,reverse,affirm
1079,affirm,mixed,affirm
1081,affirm,affirm,affirm
1083,reverse,affirm,reverse
1084,mixed,mixed,mixed
1085,reverse,reverse,reverse
1089,reverse,reverse,mixed
1092,reverse,reverse,affirm
1093,reverse,reverse,reverse
1094,affirm,affirm,reverse
1097,mixed,mixed,mixed
1100,affirm,affirm,affirm
1101,reverse,reverse,affirm
1104,mixed,mixed,reverse
1107,affirm,affirm,reverse
1112,reverse,reverse,reverse
1115,reverse,mixed,affirm
1117,affirm,reverse,affirm
1120,affirm,affirm,reverse
1124,reverse,reverse,reverse
1125,reverse,reverse,affirm
1127,,,
1181,reverse,reverse,affirm
1190,reverse,reverse,reverse
1212,,,
1213,,,
1216,reverse,mixed,mixed
1225,,,
1229,,,
1232,reverse,reverse,affirm
1234,,,
1236,reverse,reverse,reverse
1237,,,
1241,,,
1242,affirm,affirm,affirm
1244,,,
1247,affirm,reverse,affirm
1252,reverse,reverse,reverse
1259,reverse,reverse,affirm
1263,reverse,reverse,affirm
1264,affirm,reverse,reverse
1266,affirm,affirm,affirm
1269,,,
1275,reverse,reverse,reverse
1279,mixed,mixed,affirm
1281,mixed,reverse,affirm
1283,affirm,affirm,reverse
1285,reverse,reverse,affirm
1289,affirm,affirm,affirm
1293,reverse,reverse,affirm
1302,affirm,affirm,reverse
1303,,,
1310,reverse,reverse,affirm
1313,reverse,reverse,reverse
1316,mixed,affirm,affirm
1317,affirm,affirm,affirm
1321,reverse,affirm,affirm
1322,mixed,reverse,affirm
1323,,,
1332,affirm,affirm,affirm
1334,reverse,reverse,reverse
1335,affirm,affirm,affirm
1340,mixed,affirm,affirm
1342,reverse,reverse,mixed
1343,,,
1344,affirm,affirm,affirm
1345,mixed,mixed,affirm
1346,reverse,reverse,mixed
1348,reverse,reverse,affirm
1354,affirm,reverse,reverse
1356,reverse,reverse,mixed
1357,reverse,reverse,affirm
1358,reverse,reverse,affirm
1359,mixed,mixed,affirm
1360,reverse,affirm,affirm
1361,reverse,reverse,affirm
1362,mixed,mixed,affirm
1363,affirm,affirm,affirm
1366,mixed,reverse,mixed
1367,mixed,mixed,mixed
1370,mixed,mixed,mixed
1371,,,
1373,,,
1375,mixed,mixed,affirm
1379,mixed,mixed,reverse
1380,,,
1387,affirm,affirm,affirm
1388,affirm,affirm,affirm
1392,affirm,reverse,affirm
1394,affirm,affirm,affirm
1395,mixed,mixed,affirm
1398,affirm,affirm,affirm
1401,,,
1403,reverse,reverse,affirm
1409,reverse,reverse,reverse
1410,reverse,affirm,mixed
1414,mixed,mixed,mixed
1423,reverse,reverse,affirm
1425,affirm,mixed,affirm
1430,reverse,reverse,reverse
1433,mixed,affirm,reverse
1435,affirm,reverse,reverse
1440,affirm,affirm,affirm
1442,affirm,affirm,affirm
1443,affirm,reverse,mixed
1444,reverse,reverse,affirm
1445,reverse,reverse,affirm
1446,reverse,mixed,affirm
1448,reverse,reverse,affirm
1451,reverse,reverse,reverse
1452,reverse,affirm,affirm
1453,affirm,affirm,affirm
1454,mixed,mixed,reverse
1455,,,
1459,mixed,mixed,affirm
1461,affirm,affirm,affirm
1465,reverse,reverse,reverse
1467,mixed,affirm,mixed
1469,affirm,affirm,affirm
1474,affirm,affirm,affirm
1480,mixed,mixed,mixed
1482,reverse,reverse,affirm
1483,reverse,reverse,affirm
1484,mixed,mixed,affirm
1485,affirm,affirm,affirm
1491,reverse,reverse,affirm
1492,mixed,mixed,affirm
1495,mixed,mixed,affirm
1496,mixed,mixed,affirm
1499,reverse,reverse,reverse
1503,reverse,reverse,reverse
1504,affirm,affirm,reverse
1509,mixed,reverse,reverse
1512,,,
1515,reverse,reverse,reverse
1523,affirm,affirm,affirm
1526,mixed,mixed,reverse
1529,reverse,affirm,affirm
1534,reverse,reverse,affirm
1535,affirm,reverse,affirm
1536,mixed,mixed,reverse
1538,reverse,reverse,affirm
1539,,,
1543,mixed,mixed,mixed
1545,reverse,reverse,reverse
1549,mixed,affirm,affirm
1550,reverse,reverse,reverse
1551,reverse,mixed,mixed
1552,,,
1554,mixed,affirm,mixed
1559,reverse,reverse,reverse
1561,,,
1562,mixed,mixed,affirm
1564,reverse,reverse,reverse
1565,reverse,reverse,reverse
